附属设施(巡查项目) ||| 巡查子项目 ||| 通风系统(系统)
安装准确(内容) ||| 巡检周期 ||| 1次/季(巡检周期)
无破损(内容) ||| 巡检周期 ||| 1次/季(巡检周期)
无锈蚀(内容) ||| 巡检周期 ||| 1次/季(巡检周期)
通畅(内容) ||| 巡检周期 ||| 1次/季(巡检周期)
无漏风(内容) ||| 巡检周期 ||| 1次/季(巡检周期)
清洁无异物(内容) ||| 巡检周期 ||| 1次/季(巡检周期)
焊点无漏(内容) ||| 巡检周期 ||| 1次/季(巡检周期)
风扇无积灰(内容) ||| 巡检周期 ||| 1次/季(巡检周期)
滤网清洁无积灰(内容) ||| 巡检周期 ||| 1次/季(巡检周期)
风扇无积灰(内容) ||| 巡检周期 ||| 1次/季(巡检周期)
滤网清洁无积灰(内容) ||| 巡检周期 ||| 1次/季(巡检周期)
风扇及滤网清洁无积灰(内容) ||| 巡检周期 ||| 1次/季(巡检周期)
符合现行《火灾报警控制器》GB4717(内容) ||| 巡检周期 ||| 1次/季(巡检周期)
主备电源切换正常(内容) ||| 巡检周期 ||| 1次/季(巡检周期)
系统反映情况正常(内容) ||| 巡检周期 ||| 1次/季(巡检周期)
通风系统(系统) ||| 巡查项目 ||| 风机(巡查项目)
排水管道(巡查项目) ||| 巡查子项目 ||| 水泵(巡查项目)
集水坑(巡查项目) ||| 巡查子项目 ||| 水泵(巡查项目)
综合管廊(巡查项目) ||| 巡查子项目 ||| 水泵(巡查项目)
给水排水管道(巡查项目) ||| 巡查子项目 ||| 水泵(巡查项目)
排水系统(系统) ||| 巡查项目 ||| 水泵(巡查项目)
排水系统(系统) ||| 巡查项目 ||| 水位仪(巡查项目)
监控与报警系统(系统) ||| 巡查项目 ||| 环控系统(巡查项目)
监控与报警系统(系统) ||| 巡查项目 ||| 安全防范系统(巡查项目)
通道(巡查项目) ||| 内容 ||| 无异常进入特征(内容)
进（排）风口(巡查项目) ||| 巡查子项目 ||| 格栅等金属构配件(巡查项目)
接地扁钢(巡查项目) ||| 巡查内容 ||| 无锈蚀(内容)
支吊架(巡查项目) ||| 巡查内容 ||| 无锈蚀(内容)
管道(巡查项目) ||| 巡查内容 ||| 无锈蚀(内容)
管件(巡查项目) ||| 巡查内容 ||| 无锈蚀(内容)
桥(支）架(巡查项目) ||| 巡查内容 ||| 无锈蚀(内容)
格栅等金属构配件(巡查项目) ||| 内容 ||| 无锈蚀(内容)
进（排）风口(巡查项目) ||| 内容 ||| 无变形(内容)
进（排）风口(巡查项目) ||| 内容 ||| 无缺损(内容)
进（排）风口(巡查项目) ||| 内容 ||| 无覆盖异(内容)
无渗漏(内容) ||| 巡检方法 ||| 尺量(巡检方法)
无腐蚀(内容) ||| 巡检方法 ||| 尺量(巡检方法)
无缺损(内容) ||| 巡检方法 ||| 尺量(巡检方法)
无变形(内容) ||| 巡检方法 ||| 尺量(巡检方法)
无破损(内容) ||| 巡检方法 ||| 尺量(巡检方法)
无渗漏水(内容) ||| 巡检方法 ||| 尺量(巡检方法)
无变形(内容) ||| 巡检方法 ||| 尺量(巡检方法)
无漏筋(内容) ||| 巡检方法 ||| 尺量(巡检方法)
无腐蚀(内容) ||| 巡检方法 ||| 尺量(巡检方法)
无渗漏(内容) ||| 巡检方法 ||| 尺量(巡检方法)
无缺损(内容) ||| 巡检方法 ||| 尺量(巡检方法)
无变形(内容) ||| 巡检方法 ||| 尺量(巡检方法)
满足运行要求(内容) ||| 巡检周期 ||| 1次/月(巡检周期)
接头不发热变色(内容) ||| 巡检周期 ||| 1次/月(巡检周期)
电容器无发热膨胀(内容) ||| 巡检周期 ||| 1次/月(巡检周期)
电容补偿三相平(内容) ||| 巡检周期 ||| 1次/月(巡检周期)
电容接触器良好(内容) ||| 巡检周期 ||| 1次/月(巡检周期)
转动灵活(内容) ||| 巡检周期 ||| 1次/月(巡检周期)
牢固可靠(内容) ||| 巡检周期 ||| 1次/月(巡检周期)
标号清晰(内容) ||| 巡检周期 ||| 1次/月(巡检周期)
外表清洁(内容) ||| 巡检周期 ||| 1次/月(巡检周期)
转动灵活(内容) ||| 巡检周期 ||| 1次/月(巡检周期)
牢固可靠(内容) ||| 巡检周期 ||| 1次/月(巡检周期)
标号清晰(内容) ||| 巡检周期 ||| 1次/月(巡检周期)
压接良好(内容) ||| 巡检周期 ||| 1次/月(巡检周期)
无噪音(内容) ||| 巡检周期 ||| 1次/月(巡检周期)
无过热现象(内容) ||| 巡检周期 ||| 1次/月(巡检周期)
触点完好(内容) ||| 巡检周期 ||| 1次/月(巡检周期)
外表清洁(内容) ||| 巡检周期 ||| 1次/月(巡检周期)
固定可靠(内容) ||| 巡检周期 ||| 1次/月(巡检周期)
显示正常(内容) ||| 巡检周期 ||| 1次/月(巡检周期)
外表清洁(内容) ||| 巡检周期 ||| 1次/月(巡检周期)
保持清洁(内容) ||| 巡检周期 ||| 1次/月(巡检周期)
运行正常(内容) ||| 巡检周期 ||| 1次/月(巡检周期)
保持清洁(内容) ||| 巡检周期 ||| 1次/月(巡检周期)
无异物堵塞(内容) ||| 巡检周期 ||| 1次/月(巡检周期)
无破损(内容) ||| 巡检周期 ||| 1次/月(巡检周期)
外观情况正常(内容) ||| 巡检周期 ||| 1次/月(巡检周期)
储水箱补水情况良好(内容) ||| 巡检周期 ||| 1次/月(巡检周期)
水位情况良好(内容) ||| 巡检周期 ||| 1次/月(巡检周期)
外观无破损(内容) ||| 巡检周期 ||| 1次/月(巡检周期)
铅封情况正常(内容) ||| 巡检周期 ||| 1次/月(巡检周期)
阀门位置正常(内容) ||| 巡检周期 ||| 1次/月(巡检周期)
动作正常(内容) ||| 巡检周期 ||| 1次/月(巡检周期)
外观正常(内容) ||| 巡检周期 ||| 1次/月(巡检周期)
开闭正常(内容) ||| 巡检周期 ||| 1次/月(巡检周期)
硬盘空间利用率不大于70%(内容) ||| 巡检周期 ||| 1次/月(巡检周期)
外设接口完好(内容) ||| 巡检周期 ||| 1次/月(巡检周期)
硬盘空间利用率不大于70%(内容) ||| 巡检周期 ||| 1次/月(巡检周期)
外设接口完好(内容) ||| 巡检周期 ||| 1次/月(巡检周期)
数据需备份(内容) ||| 巡检周期 ||| 1次/月(巡检周期)
应用数据运行稳定(内容) ||| 巡检周期 ||| 1次/月(巡检周期)
系统数据运行稳定(内容) ||| 巡检周期 ||| 1次/月(巡检周期)
数据库业务数据运行稳定(内容) ||| 巡检周期 ||| 1次/月(巡检周期)
操作系统运行稳定(内容) ||| 巡检周期 ||| 1次/月(巡检周期)
无病毒感染(内容) ||| 巡检周期 ||| 1次/月(巡检周期)
无变形(内容) ||| 巡检周期 ||| 1次/月(巡检周期)
无缺损(内容) ||| 巡检周期 ||| 1次/月(巡检周期)
无渗漏(内容) ||| 巡检周期 ||| 1次/月(巡检周期)
无腐蚀(内容) ||| 巡检周期 ||| 1次/月(巡检周期)
无漏筋(内容) ||| 巡检周期 ||| 1次/月(巡检周期)
运行时应保持淹没深度，保持垂直安装，潜水深度在0.2m~0.3m之间(内容) ||| 巡检周期 ||| 1次/月(巡检周期)
泵体连接管道和机座紧固，无渗漏(内容) ||| 巡检周期 ||| 1次/月(巡检周期)
手动和自动启停有效(内容) ||| 巡检周期 ||| 1次/月(巡检周期)
运行电流正常(内容) ||| 巡检周期 ||| 1次/月(巡检周期)
运行声音正常(内容) ||| 巡检周期 ||| 1次/月(巡检周期)
运行振动正常(内容) ||| 巡检周期 ||| 1次/月(巡检周期)
排水情况良好(内容) ||| 巡检周期 ||| 1次/月(巡检周期)
停运时止回阀门关闭时的响声正常(内容) ||| 巡检周期 ||| 1次/月(巡检周期)
停运时水泵无倒转情况发生(内容) ||| 巡检周期 ||| 1次/月(巡检周期)
外观无破损(内容) ||| 巡检周期 ||| 1次/月(巡检周期)
安装牢固卡死(内容) ||| 巡检周期 ||| 1次/月(巡检周期)
信号反馈正常(内容) ||| 巡检周期 ||| 1次/月(巡检周期)
开关泵有效(内容) ||| 巡检周期 ||| 1次/月(巡检周期)
水位报警有效(内容) ||| 巡检周期 ||| 1次/月(巡检周期)
工作状态正常(内容) ||| 巡检周期 ||| 1次/月(巡检周期)
工作状态正常(内容) ||| 巡检周期 ||| 1次/月(巡检周期)
工作状态正常(内容) ||| 巡检周期 ||| 1次/月(巡检周期)
通畅(内容) ||| 巡检周期 ||| 1次/月(巡检周期)
无堆物占道(内容) ||| 巡检周期 ||| 1次/月(巡检周期)
无垃圾和杂物碎片(内容) ||| 巡检周期 ||| 1次/月(巡检周期)
墙面整洁(内容) ||| 巡检周期 ||| 1次/月(巡检周期)
畅通(内容) ||| 巡检周期 ||| 1次/月(巡检周期)
无淤泥(内容) ||| 巡检周期 ||| 1次/月(巡检周期)
无堵塞(内容) ||| 巡检周期 ||| 1次/月(巡检周期)
无破损(内容) ||| 巡检周期 ||| 1次/月(巡检周期)
无油漆剥落(内容) ||| 巡检周期 ||| 1次/月(巡检周期)
无锈蚀(内容) ||| 巡检周期 ||| 1次/月(巡检周期)
无破损(内容) ||| 巡检周期 ||| 1次/月(巡检周期)
无泄漏(内容) ||| 巡检周期 ||| 1次/月(巡检周期)
完好(内容) ||| 巡检周期 ||| 1次/月(巡检周期)
密封无泄漏(内容) ||| 巡检周期 ||| 1次/月(巡检周期)
无松动(内容) ||| 巡检周期 ||| 1次/月(巡检周期)
损坏(内容) ||| 巡检周期 ||| 1次/月(巡检周期)
无污渍(内容) ||| 巡检周期 ||| 1次/月(巡检周期)
无锈蚀(内容) ||| 巡检周期 ||| 1次/月(巡检周期)
无损坏(内容) ||| 巡检周期 ||| 1次/月(巡检周期)
转动顺畅(内容) ||| 巡检周期 ||| 1次/月(巡检周期)
整洁无积灰(内容) ||| 巡检周期 ||| 1次/月(巡检周期)
通风散热良好(内容) ||| 巡检周期 ||| 1次/月(巡检周期)
风扇无积尘(内容) ||| 巡检周期 ||| 1次/月(巡检周期)
滤网无积尘(内容) ||| 巡检周期 ||| 1次/月(巡检周期)
外设接口完好(内容) ||| 巡检周期 ||| 1次/月(巡检周期)
硬盘空间利用率不大于70%(内容) ||| 巡检周期 ||| 1次/月(巡检周期)
运行稳定(内容) ||| 巡检周期 ||| 1次/月(巡检周期)
无系统漏洞(内容) ||| 巡检周期 ||| 1次/月(巡检周期)
防护罩无破损(内容) ||| 巡检周期 ||| 1次/周(巡检周期)
灯具正常照明(内容) ||| 巡检周期 ||| 1次/周(巡检周期)
保持整洁(内容) ||| 巡检周期 ||| 1次/周(巡检周期)
无积水(内容) ||| 巡检周期 ||| 1次/周(巡检周期)
无易燃易爆物品(内容) ||| 巡检周期 ||| 1次/周(巡检周期)
无有腐蚀性气体(内容) ||| 巡检周期 ||| 1次/周(巡检周期)
自然通风良好(内容) ||| 巡检周期 ||| 1次/周(巡检周期)
排风设施正常(内容) ||| 巡检周期 ||| 1次/周(巡检周期)
内部灯光正常(内容) ||| 巡检周期 ||| 1次/周(巡检周期)
无渗水(内容) ||| 巡检周期 ||| 1次/周(巡检周期)
无漏水(内容) ||| 巡检周期 ||| 1次/周(巡检周期)
无积水(内容) ||| 巡检周期 ||| 1次/周(巡检周期)
完好(内容) ||| 巡检周期 ||| 1次/周(巡检周期)
整洁(内容) ||| 巡检周期 ||| 1次/周(巡检周期)
播放正常(内容) ||| 巡检周期 ||| 1次/周(巡检周期)
无破损(内容) ||| 巡检周期 ||| 1次/周(巡检周期)
通话无杂音(内容) ||| 巡检周期 ||| 1次/周(巡检周期)
通话清晰(内容) ||| 巡检周期 ||| 1次/周(巡检周期)
无破损(内容) ||| 巡检周期 ||| 1次/周(巡检周期)
无插孔(内容) ||| 巡检周期 ||| 1次/周(巡检周期)
无断线(内容) ||| 巡检周期 ||| 1次/周(巡检周期)
无破损(内容) ||| 巡检周期 ||| 1次/周(巡检周期)
通话无杂音(内容) ||| 巡检周期 ||| 1次/周(巡检周期)
通话清晰(内容) ||| 巡检周期 ||| 1次/周(巡检周期)
断线(内容) ||| 巡检周期 ||| 1次/周(巡检周期)
无破损(内容) ||| 巡检周期 ||| 1次/周(巡检周期)
工作状态正常(内容) ||| 巡检周期 ||| 1次/周(巡检周期)
外观完整(内容) ||| 巡检周期 ||| 1次/周(巡检周期)
闭门器功能正常(内容) ||| 巡检周期 ||| 1次/周(巡检周期)
密封良好(内容) ||| 巡检周期 ||| 1次/周(巡检周期)
无歪斜(内容) ||| 巡检周期 ||| 1次/周(巡检周期)
无脱落(内容) ||| 巡检周期 ||| 1次/周(巡检周期)
工作状态无异常(内容) ||| 巡检周期 ||| 1次/周(巡检周期)
外观无破损(内容) ||| 巡检周期 ||| 1次/周(巡检周期)
分机工作无异常(内容) ||| 巡检周期 ||| 1次/周(巡检周期)
主机工作无异常(内容) ||| 巡检周期 ||| 1次/周(巡检周期)
外观无破损(内容) ||| 巡检周期 ||| 1次/周(巡检周期)
工作状态无异常(内容) ||| 巡检周期 ||| 1次/周(巡检周期)
外观无破损(内容) ||| 巡检周期 ||| 1次/周(巡检周期)
灰度满足视频监控要求(内容) ||| 巡检周期 ||| 1次/周(巡检周期)
清晰度满足视频监控要求(内容) ||| 巡检周期 ||| 1次/周(巡检周期)
无损坏(内容) ||| 巡检周期 ||| 1次/周(巡检周期)
无变形(内容) ||| 巡检周期 ||| 1次/周(巡检周期)
无渗漏水(内容) ||| 巡检周期 ||| 1次/周(巡检周期)
无破损(内容) ||| 巡检周期 ||| 1次/周(巡检周期)
无变形(内容) ||| 巡检周期 ||| 1次/周(巡检周期)
无缺损(内容) ||| 巡检周期 ||| 1次/周(巡检周期)
无腐蚀(内容) ||| 巡检周期 ||| 1次/周(巡检周期)
无渗漏(内容) ||| 巡检周期 ||| 1次/周(巡检周期)
封堵完好(内容) ||| 巡检周期 ||| 1次/周(巡检周期)
无渗漏(内容) ||| 巡检周期 ||| 1次/周(巡检周期)
无变形(内容) ||| 巡检周期 ||| 1次/周(巡检周期)
无缺损(内容) ||| 巡检周期 ||| 1次/周(巡检周期)
无堵塞(内容) ||| 巡检周期 ||| 1次/周(巡检周期)
无污浊(内容) ||| 巡检周期 ||| 1次/周(巡检周期)
无覆盖异(内容) ||| 巡检周期 ||| 1次/周(巡检周期)
完好(内容) ||| 巡检周期 ||| 1次/周(巡检周期)
无异常进入特征(内容) ||| 巡检周期 ||| 1次/周(巡检周期)
不影响交通(内容) ||| 巡检周期 ||| 1次/周(巡检周期)
已打开井口有防护及警示措施(内容) ||| 巡检周期 ||| 1次/周(巡检周期)
无变形(内容) ||| 巡检周期 ||| 1次/周(巡检周期)
无缺损(内容) ||| 巡检周期 ||| 1次/周(巡检周期)
无堵塞(内容) ||| 巡检周期 ||| 1次/周(巡检周期)
无覆盖异(内容) ||| 巡检周期 ||| 1次/周(巡检周期)
通畅(内容) ||| 巡检周期 ||| 1次/周(巡检周期)
无异常进入特征(内容) ||| 巡检周期 ||| 1次/周(巡检周期)
安装牢固(内容) ||| 巡检周期 ||| 1次/周(巡检周期)
无受损(内容) ||| 巡检周期 ||| 1次/周(巡检周期)
无锈蚀(内容) ||| 巡检周期 ||| 1次/周(巡检周期)
表面清洁(内容) ||| 巡检周期 ||| 1次/周(巡检周期)
无积灰(内容) ||| 巡检周期 ||| 1次/周(巡检周期)
安装牢固(内容) ||| 巡检周期 ||| 1次/周(巡检周期)
位置端正(内容) ||| 巡检周期 ||| 1次/周(巡检周期)
无损坏(内容) ||| 巡检周期 ||| 1次/周(巡检周期)
无丢失(内容) ||| 巡检周期 ||| 1次/周(巡检周期)
表面清洁(内容) ||| 巡检周期 ||| 1次/周(巡检周期)
无积灰(内容) ||| 巡检周期 ||| 1次/周(巡检周期)
无破损(内容) ||| 巡检周期 ||| 1次/周(巡检周期)
表面清洁(内容) ||| 巡检周期 ||| 1次/周(巡检周期)
无积灰(内容) ||| 巡检周期 ||| 1次/周(巡检周期)
无破损(内容) ||| 巡检周期 ||| 1次/周(巡检周期)
表面清洁(内容) ||| 巡检周期 ||| 1次/周(巡检周期)
无积灰(内容) ||| 巡检周期 ||| 1次/周(巡检周期)
无破损(内容) ||| 巡检周期 ||| 1次/周(巡检周期)
表面清洁(内容) ||| 巡检周期 ||| 1次/周(巡检周期)
无积灰(内容) ||| 巡检周期 ||| 1次/周(巡检周期)
无破损(内容) ||| 巡检周期 ||| 1次/周(巡检周期)
安装牢固(内容) ||| 巡检周期 ||| 1次/周(巡检周期)
镜头整洁无积尘(内容) ||| 巡检周期 ||| 1次/周(巡检周期)
设备整洁无积尘(内容) ||| 巡检周期 ||| 1次/周(巡检周期)
工作状态无异常(内容) ||| 巡检周期 ||| 1次/周(巡检周期)
录像功能功能正常(内容) ||| 巡检周期 ||| 1次/周(巡检周期)
综合及其他系统(系统) ||| 巡查项目 ||| 标识标牌(巡查项目)
给排水系统(巡查项目) ||| 巡查子项目 ||| 排水管道(巡查项目)
排水管道(巡查项目) ||| 巡查子项目 ||| 排水管道(巡查项目)
综合管廊(巡查项目) ||| 巡查子项目 ||| 排水管道(巡查项目)
综合及其他系统(系统) ||| 巡查项目 ||| 排水管道(巡查项目)
基础设施(巡查项目) ||| 巡查子项目 ||| 通道(巡查项目)
电缆(巡查项目) ||| 巡查子项目 ||| 桥架(巡查项目)
基础设施(巡查项目) ||| 巡查子项目 ||| 桥架(巡查项目)
基础设施(巡查项目) ||| 巡查子项目 ||| 集水井格栅(巡查项目)
标识系统(巡查项目) ||| 巡查子项目 ||| 设备铭牌(巡查项目)
标识标牌(巡查项目) ||| 巡查子项目 ||| 设备铭牌(巡查项目)
入廊管线(巡查项目) ||| 巡查子项目 ||| 自来水管(巡查项目)
入廊管线(巡查项目) ||| 巡查子项目 ||| 通信管(巡查项目)
管道(巡查项目) ||| 巡查子项目 ||| 接口(巡查项目)
排水管道(巡查项目) ||| 巡查子项目 ||| 接口(巡查项目)
排水管道(巡查项目) ||| 巡查子项目 ||| 吊架(巡查项目)
排水系统(系统) ||| 巡查项目 ||| 管道(巡查项目)
排水管道(巡查项目) ||| 巡查子项目 ||| 管道(巡查项目)
综合管廊(巡查项目) ||| 巡查子项目 ||| 管道(巡查项目)
应力集中释放处(巡查项目) ||| 巡查子项目 ||| 管道(巡查项目)
排水设施(巡查项目) ||| 巡查子项目 ||| 管道(巡查项目)
应力集中处(巡查项目) ||| 巡查子项目 ||| 管道(巡查项目)
附属设施(巡查项目) ||| 巡查子项目 ||| 监控与报警系统(系统)
综合管廊(巡查项目) ||| 巡查子项目 ||| 监控与报警系统(系统)
风机(巡查项目) ||| 巡查子项目 ||| 运行状态(巡查项目)
风机(巡查项目) ||| 巡查子项目 ||| 控制箱及线路(巡查项目)
风机(巡查项目) ||| 巡查子项目 ||| 接地装置(巡查项目)
风机(巡查项目) ||| 巡查子项目 ||| 电机通风(巡查项目)
水泵(巡查项目) ||| 巡查子项目 ||| 安装及外观情况(巡查项目)
水泵(巡查项目) ||| 巡查子项目 ||| 接地装置(巡查项目)
水位仪(巡查项目) ||| 巡查子项目 ||| 信号反馈和报警(巡查项目)
安全防范系统(巡查项目) ||| 巡查子项目 ||| 入侵检测系统(巡查项目)
安全防范系统(巡查项目) ||| 巡查子项目 ||| 出入口门禁(巡查项目)
